location,iso_code,vaccines,last_observation_date,source_name,source_website
Bermuda,BMU,Pfizer/BioNTech,2021-06-29,Pan American Health Organization,https://www.royalgazette.com/health/news/article/20210629/covid-19-press-conference-to-be-held-today/
Bhutan,BTN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-27,World Health Organization,https://covid19.who.int/
Bolivia,BOL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-07-02,Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
Bonaire Sint Eustatius and Saba,BES,"Moderna, Pfizer/BioNTech",2021-04-09,World Health Organization,https://covid19.who.int/
Bosnia and Herzegovina,BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-06-25,Public Health Institute,https://nap.ba/news/81246
Botswana,BWA,Oxford/AstraZeneca,2021-07-02,Ministry of Health and Wellness,https://twitter.com/BWGovernment/status/1412082715315347459
Brazil,BRA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2021-07-05,Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
British Virgin Islands,VGB,Oxford/AstraZeneca,2021-07-02,World Health Organization,https://covid19.who.int/
Brunei,BRN,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-07-05,Ministry of Health,https://www.facebook.com/MOHBrunei/photos/a.1164129587048739/3936005406527796/
Bulgaria,BGR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-05,Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,Oxford/AstraZeneca,2021-06-28,World Health Organization,https://covid19.who.int/
Cambodia,KHM,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2021-07-05,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4178070705565337/
Cameroon,CMR,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-28,World Health Organization,https://covid19.who.int/
Canada,CAN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-05,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-05,World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-07-02,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics
Central African Republic,CAF,"Covaxin, Oxford/AstraZeneca",2021-06-30,Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
